City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,saint-pierre,-21.3393,55.4781,67.68,60,0,9.22,RE,1690254946
83,fort william,56.8165,-5.1121,50.31,95,89,3.51,GB,1690254647
84,college,64.8569,-147.8028,87.78,35,75,13.8,US,1690254946
85,wailua homesteads,22.0669,-159.378,82.83,87,100,18.41,US,1690254946
86,sitia,35.2,26.0986,80.46,68,0,20.13,GR,1690254946
87,tari,12.4086,4.4914,78.37,80,7,8.66,NG,1690254946
88,broome,42.2506,-75.833,66.45,89,100,6.91,US,1690254923
89,chibougamau,49.9168,-74.3659,62.22,100,100,3.85,CA,1690254885
90,uturoa,-16.7333,-151.4333,80.26,83,11,13.8,PF,1690254946
91,dazuocun,24.8862,118.9643,84.34,75,17,23.91,CN,1690254946
92,invercargill,-46.4,168.35,46.8,80,62,18.34,NZ,1690254784
93,rongelap,11.1635,166.8941,84.13,71,34,13.85,MH,1690254947
94,vilyuchinsk,52.9306,158.4028,77.27,63,1,8.55,RU,1690254947
95,san patricio,28.017,-97.5169,86.18,69,49,11.32,US,1690254885
96,illizi,26.4833,8.4667,85.8,12,0,7.47,DZ,1690254947
97,ulsteinvik,62.3432,5.8487,58.91,88,100,20.0,NO,1690254947
98,margaret river,-33.95,115.0667,60.26,89,100,22.7,AU,1690254865
99,kailua-kona,19.6406,-155.9956,84.16,84,75,5.75,US,1690254947
100,kristiansund,63.1115,7.732,56.05,82,75,14.97,NO,1690254947
101,daru,-9.0763,143.2092,79.43,65,100,8.28,PG,1690254947
102,mili,6.0815,171.735,82.22,81,90,10.54,MH,1690254947
103,harwich,51.9419,1.2844,51.53,86,100,8.05,GB,1690254948
104,shagonar,51.5333,92.8,64.35,57,100,1.59,RU,1690254948
105,ilulissat,69.2167,-51.1,42.82,87,29,0.0,GL,1690254871
106,dausa,26.8833,76.3333,89.89,59,31,7.78,IN,1690254948
107,kalinkavichy,52.1323,29.3257,62.2,95,94,6.44,BY,1690254772
108,puerto deseado,-47.7503,-65.8938,41.49,83,100,21.79,AR,1690254686
109,avarua,-21.2078,-159.775,73.45,78,75,5.75,CK,1690254875
110,sur,22.5667,59.5289,79.32,88,100,6.64,OM,1690254948
111,geraldton,-28.7667,114.6,59.41,51,100,13.8,AU,1690254715
112,susuman,62.7833,148.1667,75.65,37,58,11.61,RU,1690254948
113,gadzhiyevo,69.2551,33.3362,49.03,94,100,8.34,RU,1690254900
114,stornoway,58.2093,-6.3865,52.09,90,100,2.3,GB,1690254948
115,ribeira brava,32.65,-17.0667,74.01,77,1,2.35,PT,1690254949
116,sonoita,31.85,-112.8333,94.05,30,86,3.83,MX,1690254949
117,coalinga,36.1397,-120.3602,88.05,15,38,5.64,US,1690254949
118,nieuw amsterdam,5.8833,-55.0833,77.14,92,82,4.88,SR,1690254949
119,okhotsk,59.3833,143.3,66.56,65,25,6.76,RU,1690254949
120,ventersburg,-28.0856,27.1381,37.33,64,98,8.59,ZA,1690254949
121,fort-shevchenko,44.5086,50.263,76.08,75,100,22.75,KZ,1690254949
122,sudzha,51.1976,35.2726,61.09,64,95,7.34,RU,1690254949
123,mhamid,29.82,-5.72,92.52,17,2,2.48,MA,1690254949
124,tura,25.5198,90.2201,82.45,82,86,2.98,IN,1690254950
125,waddan,29.1614,16.139,85.98,25,0,3.02,LY,1690254950
126,nemuro,43.3236,145.575,68.72,88,20,5.75,JP,1690254950
127,saipan,15.1355,145.701,85.64,100,40,16.11,MP,1690254712
128,labytnangi,66.6572,66.4183,67.96,73,95,9.71,RU,1690254950
129,santa catalina,9.3337,122.8637,85.98,87,98,22.48,PH,1690254950
130,torit,4.4133,32.5678,69.49,86,77,2.95,SS,1690254950
131,san angelo,31.4638,-100.437,90.9,28,0,6.91,US,1690254950
132,jiuquan,39.7432,98.5174,87.42,13,6,12.59,CN,1690254731
133,kodiak,57.79,-152.4072,58.51,67,0,11.5,US,1690254950
134,west island,-12.1568,96.8225,78.78,69,100,19.57,CC,1690254867
135,kyabe,9.4515,18.9449,72.97,96,94,4.63,TD,1690254951
136,jijel,36.8205,5.7667,82.35,69,26,4.61,DZ,1690254951
137,bethel,41.3712,-73.414,75.56,81,0,3.44,US,1690254872
138,isafjordur,66.0755,-23.124,48.2,96,100,6.82,IS,1690254951
139,mufumbwe,-13.6833,24.8,51.84,60,0,5.17,ZM,1690254951
140,undurkhaan,47.3194,110.6556,73.99,44,84,7.76,MN,1690254872
141,puerto varas,-41.3195,-72.9854,46.62,100,100,9.22,CL,1690254951
142,nar'yan-mar,67.6713,53.087,62.78,78,46,9.53,RU,1690254951
143,cidreira,-30.1811,-50.2056,63.55,97,100,12.73,BR,1690254678
144,north platte,41.1239,-100.7654,84.11,74,0,8.99,US,1690254951
145,atasu,48.6814,71.6433,77.4,28,8,7.02,KZ,1690254951
146,cody,44.5263,-109.0565,73.65,72,0,4.61,US,1690254951
147,usinsk,65.9939,57.5281,64.62,72,7,5.64,RU,1690254952
148,brigantine,39.4101,-74.3646,75.99,89,0,4.61,US,1690254952
149,nguigmi,14.2495,13.1092,84.51,52,16,11.27,NE,1690254952
150,ingeniero guillermo n. juarez,-23.9,-61.85,59.97,54,100,9.66,AR,1690254952
151,cabo san lucas,22.8909,-109.9124,89.62,75,75,10.36,MX,1690254758
152,talnakh,69.4865,88.3972,65.21,54,29,3.91,RU,1690254875
153,taulaga,-11.0553,-171.0883,82.44,74,72,19.37,AS,1690254952
154,al wafrah,28.6392,47.9306,95.14,8,66,8.55,KW,1690254952
155,codrington,-38.2667,141.9667,57.31,63,7,4.0,AU,1690254729
156,lihue,21.9789,-159.3672,83.44,83,100,18.41,US,1690254952
157,alamosa,37.4695,-105.87,75.18,31,0,19.57,US,1690254952
158,santo antonio do ica,-3.1022,-67.9397,74.89,86,49,1.97,BR,1690254952
159,ulladulla,-35.35,150.4667,59.34,55,6,5.77,AU,1690254952
160,ciudad lazaro cardenas,17.9583,-102.2,81.55,76,100,2.33,MX,1690254953
161,quellon,-43.1167,-73.6167,46.65,100,100,10.36,CL,1690254953
162,yarkovo,57.4028,67.0786,64.47,81,31,5.64,RU,1690254953
163,lata,40.1629,-8.3327,53.64,98,34,2.08,PT,1690254953
164,port lincoln,-34.7333,135.8667,58.28,69,0,10.07,AU,1690254953
165,waingapu,-9.6567,120.2641,80.26,62,34,16.17,ID,1690254953
166,palmira,3.5394,-76.3036,72.88,73,40,8.05,CO,1690254953
167,atar,20.5169,-13.0499,91.2,33,6,5.61,MR,1690254953
168,iquique,-20.2208,-70.1431,66.24,80,43,1.01,CL,1690254777
169,iqaluit,63.7506,-68.5145,41.7,93,40,5.99,CA,1690254953
170,tofol,5.3248,163.0078,85.78,74,75,11.5,FM,1690254954
171,basoko,1.2391,23.616,73.9,88,82,3.13,CD,1690254871
172,es castell,39.8795,4.2854,77.68,78,75,19.57,ES,1690254954
173,awjilah,29.1081,21.2869,84.78,26,0,8.97,LY,1690254950
174,santiago de cao,-7.9589,-79.2392,71.73,83,100,8.05,PE,1690254954
175,bandarbeyla,9.4942,50.8122,77.92,66,96,28.48,SO,1690254954
176,harper,4.375,-7.7169,76.84,84,100,9.28,LR,1690254954
177,barro alto,-11.7608,-41.9117,63.21,77,18,7.25,BR,1690254954
178,murun-kuren,49.6342,100.1625,63.55,60,96,10.87,MN,1690254954
179,queenstown,-31.8976,26.8753,36.46,59,13,2.39,ZA,1690254825
180,salalah,17.0151,54.0924,77.09,100,100,16.11,OM,1690254954
181,callao,-12.0667,-77.15,70.09,73,40,12.66,PE,1690254722
182,carolina beach,34.0352,-77.8936,82.02,86,44,6.22,US,1690254955
183,petropavlovsk-kamchatsky,53.0452,158.6483,75.79,44,40,6.71,RU,1690254924
184,as sulayyil,20.4607,45.5779,86.25,11,83,7.76,SA,1690254955
185,marsabit,2.3284,37.9899,59.65,84,72,14.76,KE,1690254955
186,el gouna,27.3942,33.6782,85.24,48,0,5.19,EG,1690254955
187,obidos,-1.9175,-55.5181,77.79,58,43,2.8,BR,1690254955
188,sayat,38.7839,63.8803,89.47,12,0,15.17,TM,1690254955
