City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,bozkurt,41.9577,34.0109,77.43,67,7,6.42,TR,1690197284
84,kataba,13.9833,44.3833,78.58,39,99,6.26,YE,1690197284
85,altamira,-3.2033,-52.2064,71.69,100,0,1.14,BR,1690197190
86,lihue,21.9789,-159.3672,80.19,85,100,18.41,US,1690197284
87,tindouf,27.6711,-8.1474,103.8,13,42,11.43,DZ,1690197284
88,swakopmund,-22.6833,14.5333,56.98,77,13,5.99,NA,1690197284
89,kovdor,67.5662,30.4758,51.1,85,100,5.01,RU,1690197087
90,mount darwin,-16.7725,31.5838,86.2,18,0,1.86,ZW,1690197284
91,petropavlovsk-kamchatsky,53.0452,158.6483,59.59,77,20,6.71,RU,1690197284
92,tsiombe,-25.3,45.4833,82.85,32,0,9.15,MG,1690197284
93,les avirons,-21.2418,55.3394,75.25,73,0,23.02,RE,1690197284
94,al qaryatayn,34.2296,37.2407,95.61,20,0,22.95,SY,1690197285
95,den burg,53.0542,4.7972,66.16,80,100,12.66,NL,1690197285
96,ressano garcia,-25.442,31.9913,78.13,46,53,11.99,MZ,1690197285
97,cove,7.221,2.3402,74.14,94,100,4.16,BJ,1690197285
98,grand island,40.925,-98.342,72.19,88,67,5.01,US,1690197285
99,labuan,5.2767,115.2417,82.76,78,20,2.3,MY,1690197285
100,quellon,-43.1167,-73.6167,43.05,87,100,5.75,CL,1690197285
101,aasiaat,68.7098,-52.8699,38.14,98,100,5.44,GL,1690197285
102,aswan,24.0934,32.907,109.45,8,23,11.59,EG,1690197285
103,nova sintra,14.8667,-24.7167,74.12,74,68,8.21,CV,1690197285
104,bikenibeu village,1.3673,173.1241,78.76,94,100,0.0,KI,1690197286
105,calapan,13.4117,121.1803,85.1,79,100,8.9,PH,1690197286
106,mary,37.0,62.5,107.13,7,0,17.52,TM,1690197286
107,punta arenas,-53.15,-70.9167,26.24,86,49,3.22,CL,1690197135
108,faya-largeau,17.9257,19.1043,107.91,7,4,13.04,TD,1690197286
109,ixtapa,20.7,-105.2,79.23,86,100,1.99,MX,1690197286
110,college,64.8569,-147.8028,67.98,74,20,4.61,US,1690197286
111,bengkulu,-3.8004,102.2655,79.18,79,93,4.34,ID,1690197286
112,dudinka,69.4058,86.1778,70.63,49,85,10.74,RU,1690197286
113,tottori,35.5,134.2333,87.87,58,20,9.22,JP,1690197287
114,port elizabeth,-33.918,25.5701,63.1,48,20,17.27,ZA,1690197287
115,cabo san lucas,22.8909,-109.9124,81.61,79,76,8.99,MX,1690197072
116,greenville,35.6127,-77.3663,73.56,100,100,0.0,US,1690197268
117,saryaghash,41.45,69.1667,102.13,10,1,4.25,KZ,1690197287
118,qaqortoq,60.7167,-46.0333,42.67,92,96,6.98,GL,1690197287
119,dhidhdhoo,6.8833,73.1,82.98,80,98,14.41,MV,1690197288
120,axim,4.8699,-2.2405,79.23,79,100,7.63,GH,1690197288
121,rancho palos verdes,33.7445,-118.387,69.48,94,3,1.01,US,1690197288
122,prince george,53.9166,-122.753,56.64,90,100,5.75,CA,1690197288
123,keshod,21.3,70.25,83.86,79,93,18.41,IN,1690197288
124,uturoa,-16.7333,-151.4333,78.89,84,90,13.35,PF,1690197288
125,port lincoln,-34.7333,135.8667,55.44,79,68,6.38,AU,1690197288
126,strezhevoy,60.7333,77.5889,75.94,47,99,5.21,RU,1690197288
127,port alfred,-33.5906,26.891,62.19,58,13,7.0,ZA,1690197289
128,bayanhongor,46.7167,100.1167,70.29,27,72,9.62,MN,1690197289
129,bom jesus,-9.0744,-44.3586,74.25,59,7,8.25,BR,1690197289
130,olonkinbyen,70.9221,-8.7187,40.33,94,100,12.91,SJ,1690197289
131,pariaman,-0.619,100.12,84.25,82,75,3.24,ID,1690197289
132,queenstown,-31.8976,26.8753,53.17,40,26,6.2,ZA,1690197289
133,mizdah,31.4451,12.9801,105.48,9,0,11.52,LY,1690197289
134,bryan,30.6744,-96.37,75.09,88,0,0.0,US,1690197289
135,lushun,38.8,121.2667,77.22,81,1,9.26,CN,1690197290
136,iqaluit,63.7506,-68.5145,44.33,81,20,4.0,CA,1690197290
137,yangshuo,24.7808,110.4897,85.26,81,93,2.82,CN,1690197290
138,ashkelon,31.6693,34.5715,103.78,53,0,12.24,IL,1690197290
139,hasaki,35.7333,140.8333,80.31,83,3,10.89,JP,1690197290
140,puerto aysen,-45.4,-72.7,31.15,95,100,3.31,CL,1690197290
141,pisco,-13.7,-76.2167,60.85,82,40,10.36,PE,1690197290
142,isangel,-19.55,169.2667,70.25,74,100,10.25,VU,1690197290
143,viedma,-40.8135,-62.9967,39.69,73,100,6.29,AR,1690197290
144,carnarvon,-24.8667,113.6333,66.61,53,42,12.46,AU,1690197291
145,pyin oo lwin,22.0333,96.4667,78.01,82,96,0.47,MM,1690197291
146,i-n-salah,27.1935,2.4607,111.61,6,0,13.18,DZ,1690197291
147,berlin,52.5244,13.4105,84.06,45,0,16.11,DE,1690197007
148,bongor,10.2806,15.3722,92.5,43,27,5.66,TD,1690197291
149,praia,14.9215,-23.5087,82.94,65,75,14.97,CV,1690197245
